Header_review,review_text,rating
Value-for-money,"Amazing Product, bass is amazing and easy to carry , Also you like the insulation of product , battery backup is very good. Satisfied With Product",4.0
Perfect product!,Worth it If you think to buy a tws then it is a best option light weight easy to carry I'm Happy From This.,5.0
Just okay,Good and well but still some batter time improved it will be good and I have a small fear that these buds or not fitting properly some times and may fall down that is a draw back.,3.0
Not recommended at all,"As they rightly say about Chinese Products: Chala Toh Chand Tak; Nahi Toh Raat Tak.Review after a month of using this product:Sound Quality Is good, above average I would call it.Easy to pair and connect.Like the fit, fits perfect in your ears.Issues: 1. If you are watching a video, after a while, you would notice that the video is not in sync with the sound. Theres a constant disconnect which cause the video to relay first and then u hear the audio.2. The right earbud has stopped wo...",1.0
Just okay,"I am writing this review after using this product for more than 4 months now. ~Sound quality ( bass ) is good but not great. If you are a bass lover buy local earphones, they provide more bass than this product. Overall, sound quality is good.~Voice calls via Bluetooth is not at all impressive. If you are at a quiet place you can expect these to work just fine but if you are at public place don't even try to talk via these ear buds.~ Design is great. I love the design, fits well in ears an...",3.0
Good choice,"Genuine review (after 1 week of use), I was quiet confused whether to buy these earbuds or oppo enco w11 or boat airdopes 441. Atlast I bought realme buds q in 1565/-Pros - Sound very goodBass very goodInstant connectivity to Bluetooth.Battery backup goodLight weightPremium lookLink appWater and sweat proofGaming modeCons -Not having a good responsive touch. It makes delay responses.Call quality average, not bad but not that good in outdoors.Not having that good connectivity r...",4.0
Classy product,"LOVE IT 👌🏻Awesome Sound Quality with Superb Bass and noise cancellation, So light weight and perfect fit in ear. Love these Buds specially if you compare this with any other brand in this price thanks to realme For this great deal.",5.0
Fabulous!,Awesome product in such a low price...didn't expected..I never loved any earphone than samsung in ear headphones even akg headphones couldn't beat that and this realme bud is exactly like samsung in ear...loved it must buy,5.0
Really Nice,This buds gives such a good quality experience of listening. Fine bass and good build quality. Bt battery backup stands extremely good . I have purchased this Bud's 10 days ago since then I got fine performance from this buds.I must say worth of every Penny I spent on it.,4.0
Good quality product,"First of all, size of the product is very small and handy, it can easily fit in your pocket. Battery backup is good as of now.Call quality is average, not expecting more...Sound quality is good for bass lovers, but not crispy. I'm using sony Headset (wired) while compared it's average.Usb type c is missing but not a issue.Interfaces - touch controls are average. Overall your budget is 1500 to 2000 consider to buy.",4.0
Classy product,This ear bugs was vary good nice fit and finesh the quality of sound and bass was vary good I think this ear buds are the best buds under 2000,5.0
Highly recommended,Good product. But need improvement in sound and design&style. But bass is 🔥🔥🔥🔥. I love it. Although i am a realme lover . I love all realme product.,5.0
Does the job,"I read many negative reviews and few positive reviews about these earpods and took a chance to buy it for the real experience. I got it delivered by flipkart within 3-4 days after ordering. I unboxed it as soon as I got them, it was way to simple and easy to connect with your phone and laptop. After getting plugged in with these Realme Buds Q I realised that the sound quality was not that good if you are a music lover, though the quality of sound was clear it lacked in bass  and high music. ...",3.0
Classy product,Bass is not that much good . But the quality of vocals and loudness is absolutely fabulous .Although i face some connectivity problems with the left bud sometimes but overall a good purchase .pretty much much happy with my decision,5.0
Very Good,Best In this Range....... Blindly Go for it I'm writing this review after using for 30 Days*Microphone is working smoothly*Battery Backup is more than mentioned*Connecting time is 2 sec max *Fitting in ear is perfect (Customise with 3 Extra Sets of Buds)*Easy to carry*Sound is best in the range but it can be improved*Bass also need improvement,4.0
Decent product,"Product is good but it's range is too less, poor connection during taking acc not working not connect at far lid. Bass is too good at this price. I loved it's bass. Nice product",3.0
Super!,Good proudct excellent ear buds nice sound good battery backup nice design and very light weight.Thanks realme........Fabulous product by realme🙏🙏👍👍👌👌🍫🍫,5.0
Really Nice,"Let me tell you about this product  -         1.its build is really awesome            2.The batter backup is good           3.It doesnt fall from your ears            4.Quality is good           5. If you expect a same clarity of an wired earphone then you will be disappointed         6.The pairing is so fast , gets connected quickly         7.Should have an led indicator in the earbuds , you can only know your bud is died when it doesnt work, but you can use the app to see the charge...",4.0
Great product,Excellent Sound Quality with Amazing Battery Backup......The product comes with 20hrs battery backup which is large enough to use it for 3-4 days easily...  And the Bass the buds gives is just Amazing.... Each and every word can be heard with these beast.... It also has Gaming Mode which unables user super-massive gaming experience..... Don't give it a second thought just buy it..... Loved it💖✌🏻,5.0
Mind-blowing purchase,If u want earbuds for gaming like pubgm and cod and listening to music go for it If u want for call purpose go for some other cause u have to speak very very loud so that the other person could hear my voice but all the rest things are perfect specially battery backup is so good I almost get atleast 7 hours at 70% volume when gaming from when i take the buds out of the charging caseThe design is good.There is no led in buds but only one in charging case to show that the case is charging o...,5.0
Great product,"Best noise cancelling buds for this priceEven though it has no noise cancelling!It's pretty good and bass is awesome and sound quality is also good, I can literally hear the lyrics even I'm standing in the crowd and it fits perfect that you won't hear outside noise at all.",5.0
Worst experience ever!,"Its not good deal. Sound Quality , Bass is all good but battery backup after 7 , is too bad. Charge full but when you started using , its battery down to immediately withing 30 second to 1 minutes.It's better then wired bluetooth as like Boat  and other  indian Brand.",1.0
Great product,Bought them in 1499 20 days ago...battery is 2 hrs for songs 1.5 hrs for call for a single bud. But the box can fully charge them in 30 minutes so no problem ..mic connectivity during call is also very good seems like hd calling but for a better experience you may require a calm place. Overall with brand support like real me one can buy blindfull,5.0
Just okay,The product is best and sound quality also best and beti so nice range also nice disadvantages after 7 days the right earbud will not work it will work but charging will not support you should clean the box and you should keep the charging and it works you don't think that the right earbud is not working to be working but it won't get charged through you should clean one time and you will do charge means you will get charged Atlas I control my speech by saying that the real world so nice name...,3.0
Classy product,"Very good product but calls noise is not good other wise battery backup super I have 1week backup, sound quality very good",5.0
Wonderful,Awsm,4.0
Just wow!,Super Vera level iruku buds,5.0
Just wow!,Goof product from realme.I am quite impressed from these,5.0
Utterly Disappointed,"After 2 months they are not connecting, right bud is not working since 1st week now left one also stopped connectingNote - replacement taken within a week as right side bud stopped working same happened in new also, now this review is for replaced oneDon't buy",1.0
Worth every penny,Amazing 👏,5.0
Great product,Very handy and also very useful product 😊i like it ❤️,5.0
Just wow!,Very nice product,5.0
Not recommended at all,"One bud stopped working just after 10 days, now flipkart is not returning or exchanging the product, do not buy this product",1.0
Worst experience ever!,"Within the return period it will work perfectly but after that too many problems you will face so don't buy this earbuds i have brought this on 12 jan and on 22 jan it's showing its true colours....I'm having connection issues, charging issue and more yet to come . Opening the box is very complicated",1.0
Terrific,Bass is very goodOverall nice product at this range I got it @1599,5.0
Worthless,In one hour calling battery reduces from 100% to 10%Never ever buy this product,1.0
Waste of money!,Right ear bud stopped working within a month really disappointed otherwise the sound and all was good till it was working. I wish I could give it 0 stars.,1.0
Worth every penny,Best Quality buds,5.0
Very poor,Right ear bud stopped working after the return period.,1.0
Useless product,Sound and battery life is good but touch response is very poor and not working properly,1.0
Useless product,Sound and battery life is good but touch response is very poor and not working properly,1.0
Does the job,"Writing this review after one and half months of purchasing. Pros:-1) Battery backup is good, not great but you can't expect more from this2) Sound is good. If you're an audiophile don't go for it, though sounds good but it would disappoint you.2) Bass is good. Cons:-1) You would hate it for its turbulences. Right pair of the bluetooth headset got corrupted in just 45 days of light using and doesn't gets connected. After talking to the customer representative, they fu*king suggested m...",3.0
Super!,All are good but Noice cancelation on call not good .,5.0
Simply awesome,Ausume quality This is perfect real       ..........,5.0
Good quality product,Best in the price range.. Super bass.. treble also good.. descent battery backup above 4 hours on a single charge in high volume..,4.0
Just wow!,Sound Quality 10/10Design 10/10Light Weight 10/10Battery Backup 10/10Build Quality 7/10Latency 9/10,5.0
Pretty good,Good,4.0
Best in the market!,Good,5.0
Does the job,Sound and build is pretty good but touch control not working properly.,3.0
